Player,player_url,player_RND,player_rating,player_ACS,player_KAST,player_KD_ratio,player_ADR,player_KPR,player_APR,player_FKPR,player_FDPR,player_HS,player_CL_percent,player_CL,player_top_3_agents_1_image,player_top_3_agents_2_image,player_top_3_agents_3_image
keznit,https://www.vlr.gg/player/2462/keznit,144,1.11,237.4,67%,1.01,151.2,0.78,0.35,0.19,0.19,27%,,0/13,https://www.vlr.gg/img/vlr/game/agents/kayo.png,https://www.vlr.gg/img/vlr/game/agents/raze.png,https://www.vlr.gg/img/vlr/game/agents/fade.png
SUYGETSU,https://www.vlr.gg/player/2858/suygetsu,357,1.11,209.9,74%,1.15,139.4,0.74,0.29,0.05,0.04,36%,17%,9/54,https://www.vlr.gg/img/vlr/game/agents/viper.png,https://www.vlr.gg/img/vlr/game/agents/cypher.png,https://www.vlr.gg/img/vlr/game/agents/sage.png
Alfajer,https://www.vlr.gg/player/9810/alfajer,319,1.11,242.5,73%,1.17,159.5,0.81,0.22,0.14,0.15,25%,18%,4/22,https://www.vlr.gg/img/vlr/game/agents/neon.png,https://www.vlr.gg/img/vlr/game/agents/raze.png,https://www.vlr.gg/img/vlr/game/agents/killjoy.png
Zyppan,https://www.vlr.gg/player/11/zyppan,357,1.09,232.1,73%,1.06,152.9,0.79,0.28,0.17,0.12,27%,9%,3/32,https://www.vlr.gg/img/vlr/game/agents/raze.png,https://www.vlr.gg/img/vlr/game/agents/skye.png,https://www.vlr.gg/img/vlr/game/agents/kayo.png
Mistic,https://www.vlr.gg/player/1457/mistic,319,1.09,195.5,76%,1.08,124.3,0.70,0.39,0.09,0.06,27%,18%,6/34,https://www.vlr.gg/img/vlr/game/agents/skye.png,https://www.vlr.gg/img/vlr/game/agents/breach.png,https://www.vlr.gg/img/vlr/game/agents/sage.png
ScreaM,https://www.vlr.gg/player/92/scream,257,1.09,222.3,68%,1.11,151.3,0.73,0.21,0.16,0.14,29%,8%,2/26,https://www.vlr.gg/img/vlr/game/agents/raze.png,https://www.vlr.gg/img/vlr/game/agents/phoenix.png,
Mazino,https://www.vlr.gg/player/7603/mazino,144,1.09,223.6,67%,1.08,144.2,0.75,0.40,0.07,0.09,29%,6%,1/16,https://www.vlr.gg/img/vlr/game/agents/sage.png,https://www.vlr.gg/img/vlr/game/agents/skye.png,https://www.vlr.gg/img/vlr/game/agents/kayo.png
NagZ,https://www.vlr.gg/player/1294/nagz,144,1.08,213.3,75%,1.11,138.0,0.76,0.15,0.17,0.10,25%,15%,3/20,https://www.vlr.gg/img/vlr/game/agents/chamber.png,https://www.vlr.gg/img/vlr/game/agents/sage.png,https://www.vlr.gg/img/vlr/game/agents/killjoy.png
Will,https://www.vlr.gg/player/1411/will,157,1.07,245.3,72%,1.16,155.0,0.86,0.19,0.20,0.13,18%,13%,2/16,https://www.vlr.gg/img/vlr/game/agents/raze.png,https://www.vlr.gg/img/vlr/game/agents/chamber.png,https://www.vlr.gg/img/vlr/game/agents/jett.png
Jamppi,https://www.vlr.gg/player/9780/jamppi,257,1.06,218.7,72%,1.13,143.7,0.77,0.16,0.17,0.12,24%,21%,6/28,https://www.vlr.gg/img/vlr/game/agents/chamber.png,https://www.vlr.gg/img/vlr/game/agents/sage.png,
crashies,https://www.vlr.gg/player/4/crashies,492,1.06,195.4,72%,1.04,128.4,0.68,0.37,0.07,0.08,26%,11%,6/56,https://www.vlr.gg/img/vlr/game/agents/sova.png,https://www.vlr.gg/img/vlr/game/agents/skye.png,https://www.vlr.gg/img/vlr/game/agents/kayo.png
